fits_files,cluster,beam_name,beam_id,utc_start
/p/MFR/MEERKAT/TRAPUM/TRAPUM_ALL_OBS_BY_CLUSTER/NGC6717/NGC6717_01L-trapum/NGC6717_01L-trapum_cfbf00016sub.fil,NGC6717,cfbf00016,16,2024-11-28T15:22:52
/p/MFR/MEERKAT/TRAPUM/TRAPUM_ALL_OBS_BY_CLUSTER/NGC6717/NGC6717_01L-trapum/NGC6717_01L-trapum_cfbf00017sub.fil,NGC6717,cfbf00017,17,2024-11-28T15:22:52
/p/MFR/MEERKAT/TRAPUM/TRAPUM_ALL_OBS_BY_CLUSTER/NGC6717/NGC6717_01L-trapum/NGC6717_01L-trapum_cfbf00018sub.fil,NGC6717,cfbf00018,18,2024-11-28T15:22:52
/p/MFR/MEERKAT/TRAPUM/TRAPUM_ALL_OBS_BY_CLUSTER/NGC6717/NGC6717_01L-trapum/NGC6717_01L-trapum_cfbf00019sub.fil,NGC6717,cfbf00019,19,2024-11-28T15:22:52
/p/MFR/MEERKAT/TRAPUM/TRAPUM_ALL_OBS_BY_CLUSTER/NGC6717/NGC6717_01L-trapum/NGC6717_01L-trapum_cfbf00020sub.fil,NGC6717,cfbf00020,20,2024-11-28T15:22:52
/p/MFR/MEERKAT/TRAPUM/TRAPUM_ALL_OBS_BY_CLUSTER/NGC6717/NGC6717_01L-trapum/NGC6717_01L-trapum_cfbf00021sub.fil,NGC6717,cfbf00021,21,2024-11-28T15:22:52
/p/MFR/MEERKAT/TRAPUM/TRAPUM_ALL_OBS_BY_CLUSTER/NGC6717/NGC6717_01L-trapum/NGC6717_01L-trapum_cfbf00022sub.fil,NGC6717,cfbf00022,22,2024-11-28T15:22:52
/p/MFR/MEERKAT/TRAPUM/TRAPUM_ALL_OBS_BY_CLUSTER/NGC6717/NGC6717_01L-trapum/NGC6717_01L-trapum_cfbf00023sub.fil,NGC6717,cfbf00023,23,2024-11-28T15:22:52
/p/MFR/MEERKAT/TRAPUM/TRAPUM_ALL_OBS_BY_CLUSTER/NGC6717/NGC6717_01L-trapum/NGC6717_01L-trapum_cfbf00024sub.fil,NGC6717,cfbf00024,24,2024-11-28T15:22:52
/p/MFR/MEERKAT/TRAPUM/TRAPUM_ALL_OBS_BY_CLUSTER/NGC6717/NGC6717_01L-trapum/NGC6717_01L-trapum_cfbf00025sub.fil,NGC6717,cfbf00025,25,2024-11-28T15:22:52
